key,label,n_seeds,jp0_mean,jp0_ci,jpf_mean,jpf_ci,cost_mean
gemma4:31b|adaptive|combined|natural_language,gemma4:31b / adaptive / combined,4,0.5466666666666666,0.02513462692614295,0.5663725490196079,0.025001815851008708,0.0
gemma4:31b|llm_judge|combined|natural_language,gemma4:31b / llm_judge / combined,20,0.3863676470588235,0.041153792784549434,0.4007794117647059,0.049930705968256,0.0
gemma4:31b|naive|combined|natural_language,gemma4:31b / naive / combined,19,0.39104854982055665,0.046036920297856186,0.39332986768941663,0.0494125316208383,0.0
gemma4:31b|selective(τ=0.5)|combined|natural_language,gemma4:31b / selective(τ=0.5) / combined,20,0.39217973856209143,0.04239787259982595,0.39665305010893237,0.04488949391042233,0.0
haiku|adaptive|combined|natural_language,haiku / adaptive / combined,8,0.43719863675397164,0.035735375600618464,0.4617673894375268,0.04716807668862354,0.1749984
haiku|llm_judge_cot|combined|natural_language,haiku / llm_judge_cot / combined,4,0.48039215686274506,0.01921568627450979,0.5686274509803922,0.022188363286503247,0.10014520000000002
haiku|llm_judge|combined|natural_language,haiku / llm_judge / combined,21,0.5094858144629721,0.05383247265454241,0.5533640677780169,0.05259216850072394,0.11166057142857143
haiku|llm_judge|semgrep|natural_language,haiku / llm_judge / semgrep,1,0.7368421052631579,0,0.7368421052631579,0,0.0292912
haiku|naive|combined|minimal,haiku / naive / combined / minimal,3,0.5347368421052632,0.14648421052631577,0.5571929824561404,0.07289824561403506,0.16136293333333332
haiku|naive|combined|natural_language,haiku / naive / combined,27,0.5289443045029116,0.04946707546632578,0.5792070431895325,0.04190987854483672,0.17152974814814817
haiku|naive|combined|raw_sarif,haiku / naive / combined / raw_sarif,3,0.542999656002752,0.19952474907766063,0.5759408324733403,0.1655321723240558,0.12881386666666667
haiku|naive|semgrep|natural_language,haiku / naive / semgrep,1,0.7368421052631579,0,0.6842105263157895,0,0.0352368
haiku|selective(τ=0.1)|combined|natural_language,haiku / selective(τ=0.1) / combined,4,0.6473168214654283,0.14922924950835148,0.6653766769865842,0.14626627817491183,0.040873400000000004
haiku|selective(τ=0.3)|combined|natural_language,haiku / selective(τ=0.3) / combined,4,0.6687306501547987,0.16963600660711425,0.6916924664602684,0.15913374030632732,0.0400388
haiku|selective(τ=0.5)|combined|natural_language,haiku / selective(τ=0.5) / combined,25,0.5065162773243268,0.04624377739306556,0.5294647715545548,0.04608729945530505,0.09180944000000002
haiku|selective(τ=0.5)|semgrep|natural_language,haiku / selective(τ=0.5) / semgrep,1,0.7894736842105263,0,0.7894736842105263,0,0.0274912
haiku|selective(τ=0.7)|combined|natural_language,haiku / selective(τ=0.7) / combined,4,0.6506707946336429,0.1688957688338493,0.6653766769865841,0.1400722394220846,0.0413616
haiku|selective(τ=0.9)|combined|natural_language,haiku / selective(τ=0.9) / combined,4,0.6867905056759547,0.16863515979514732,0.6916924664602684,0.15913374030632732,0.0380452
qwen3-8b|adaptive|combined|natural_language,qwen3-8b / adaptive / combined,8,0.3544730392156863,0.050416712204598764,0.4085171568627451,0.06127419178152765,0.0
